参考能量(eV/atom)	计算能量(eV/atom)
-6.2698657080	-6.4330126211
-6.2758431950	-6.4406443372
-6.2778943946	-6.4381445881
-6.2786235995	-6.4357000334
-6.2832428009	-6.4438826407
-6.2778785184	-6.4320604920
-6.2677884545	-6.4290359538
-6.2741965625	-6.4322279045
-6.2667335680	-6.4342892645
-6.2682263088	-6.4281361689
-6.2777660263	-6.4344214305
-6.2753434289	-6.4351298395
-6.2785934420	-6.4398010632
-6.2733794764	-6.4313376687
-6.2802125137	-6.4391959691
-6.2808725020	-6.4394486422
-6.2771838691	-6.4368573671
-6.2694630265	-6.4272124798
-6.2890715420	-6.4477379757
-6.2734784357	-6.4328920225
-6.2693625345	-6.4325122230
-6.2832816321	-6.4404071482
-6.2813975196	-6.4410835536
-6.2778083023	-6.4390538959
-6.2813936610	-6.4420508308
-6.2763394362	-6.4365980477
-6.2731069313	-6.4300470207
-6.2712744042	-6.4308625713
-6.2751561037	-6.4344934577
-6.2724680933	-6.4352178533
-6.2797473682	-6.4399431400
-6.4523397927	-6.6169059844
-6.4573205062	-6.6206995671
-6.4596988156	-6.6241726708
-6.4529475255	-6.6177925607
-6.4427098886	-6.6090357647
-6.4469899184	-6.6151093608
-6.4621099920	-6.6209357541
-6.5152613015	-6.6802725669
-6.4542356346	-6.6142576058
-6.4566541995	-6.6168566839
-6.4548047191	-6.6129823617
-6.4535933710	-6.6203856578
-6.4589750930	-6.6205208477
-6.4556879105	-6.6147535487
-6.4525221027	-6.6100016406
-6.4523285698	-6.6186930239
-6.4541481210	-6.6149088657
-6.4584846769	-6.6154259069
-6.4582369820	-6.6137817921
-6.4618137591	-6.6174317223
-6.4616812095	-6.6170002649
-6.4565306867	-6.6205950597
-6.4586905451	-6.6147328786
-6.4601243707	-6.6170533446
-6.4519768514	-6.6081689969
-6.4562190531	-6.6119007057
-6.4548670040	-6.6100835688
-6.4579671685	-6.6145597900
-6.4481287338	-6.6114000840
-6.4441195446	-6.6140718806
-6.4572817162	-6.6161912530
-6.4666389820	-6.6265310643
-6.4544417638	-6.6096874334
-6.4614910237	-6.6238966304
-6.4567525779	-6.6189289049
-6.4501261591	-6.6116434352
-6.4434269829	-6.6101798236
-6.4697340546	-6.6231333872
-6.4577330056	-6.6131665145
-6.4460035549	-6.6177146233
-6.4602799787	-6.6168862264
-6.4551930523	-6.6155818240
-6.4490634589	-6.6151887900
-6.4656614771	-6.6255209570
-6.4510381034	-6.6153513449
-6.5003886221	-6.6596807455
-6.5101107831	-6.6683581107
-6.4986979089	-6.6610064007
-6.5039849071	-6.6631550391
-6.5198592754	-6.6703166281
-6.5134753240	-6.6685680919
-6.5095202449	-6.6641539944
-6.5098491297	-6.6666422234
-6.5801295162	-6.7296654298
-6.4994288622	-6.6627586044
-6.5108922788	-6.6602131588
-6.4977573584	-6.6574966101
-6.5167122934	-6.6700668434
-6.5114550179	-6.6589835830
-6.5064458559	-6.6668217152
-6.5056021063	-6.6583836282
-6.5087165954	-6.6670422360
-6.5127375874	-6.6675699737
-6.5065082488	-6.6604103070
-6.5000830953	-6.6553094088
-6.5217433705	-6.6679884962
-6.5236219908	-6.6821742952
-6.4936448718	-6.6369069941
-6.5847452427	-6.7420103871
-6.5473351650	-6.6979557037
-6.5108478708	-6.6537279080
-6.5376770466	-6.6858055015
-6.5464884079	-6.7055556626
-6.5237026016	-6.6645731929
-6.5724457023	-6.7286627588
-6.5686162902	-6.7215760767
-6.5379810159	-6.6790020419
-6.5409179694	-6.6935974737
-6.5443815760	-6.6946214876
-6.5277091641	-6.6702095094
-6.5293171345	-6.6726304299
-6.5628605248	-6.7212420928
-6.5640274360	-6.7160403164
-6.5493201668	-6.7060230229
-6.5100117030	-6.6508622381
-6.5693627732	-6.7295302093
-6.5287601174	-6.6725199045
-6.5067764415	-6.6480934637
-6.5707494691	-6.7272389222
-6.5455061151	-6.6976439693
-6.5397979476	-6.6875813896
-6.5241482672	-6.6708740886
-6.5698043400	-6.7214209987
-6.4961932914	-6.6388261867
-6.5566104681	-6.7078573251
-6.5298916872	-6.6735285366
-6.5454344767	-6.6909829706
-6.5429633533	-6.6867845476
-6.5366353449	-6.6878720019
-6.5325958427	-6.6846514824
-6.5643120049	-6.7117157493
-6.5226856003	-6.6685446748
-6.5434793434	-6.6911318920
-6.5012682739	-6.6434009237
-6.5487456757	-6.7061091277
-6.5708360224	-6.7167648891
-6.5294453419	-6.6784417294
-6.5770686536	-6.7262776410
-6.5563870584	-6.7146561362
-6.4854281467	-6.6286204834
-6.5433160557	-6.6838076103
-6.5487885152	-6.6926343634
-6.9130636971	-7.0570425982
-6.8355587654	-6.9974240866
-6.9062391174	-7.0538244001
-6.9106854119	-7.0549058959
-6.8307909857	-6.9869875228
-6.9882791501	-7.1189446497
-6.9091621481	-7.0534119234
-6.9146442293	-7.0592683889
-6.9080338027	-7.0547818136
-6.9119279109	-7.0581402956
-6.8333836255	-6.9895160549
-6.8440455581	-6.9945471330
-6.9207175493	-7.0608882472
-6.9136848996	-7.0569659827
-6.8196422069	-6.9807406124
-6.9217994501	-7.0659774538
-6.8246233510	-6.9855283616
-6.9176254337	-7.0590508894
-6.8420087007	-6.9896941520
-6.8377504444	-6.9946364995
-6.9167489380	-7.0571562551
-6.8364162232	-6.9921030460
-6.9108909374	-7.0568974018
-6.8350708519	-6.9881109701
-6.8342637277	-6.9857507192
-6.9148878673	-7.0564004873
-6.8342553292	-6.9939553469
-6.8528143790	-7.0031250868
-6.8348032796	-6.9924923333
-6.8499059451	-7.0059609704
-6.9130280566	-7.0582580652
-6.9188306526	-7.0603929467
-6.9109191196	-7.0554853940
-6.9073899440	-7.0532144234
-6.9119873982	-7.0562728898
-6.9096728599	-7.0538442778
-6.8188146307	-6.9833804715
-6.8159742337	-6.9749983108
-6.8996047886	-7.0477306935
-6.8358926710	-6.9917014802
-6.8429368727	-6.9939932295
-6.9122844122	-7.0566626127
-6.9101826926	-7.0530878390
-6.8333309997	-6.9922527800
-6.9161794419	-7.0597399334
-6.9007713491	-7.0529899740
-6.8463570092	-7.0014823657
-6.8409442825	-6.9991474307
-6.9108110061	-7.0554898116
-6.9027260302	-7.0466387241
-6.9100248511	-7.0541558596
-6.9056813019	-7.0502349841
-6.9083491031	-7.0525697182
-6.8169590781	-6.9797073783
-6.9139497112	-7.0558718326
-6.9064147817	-7.0536178569
-6.8367754958	-6.9944436874
-6.9881590699	-7.1189291189
-6.8423271007	-7.0020990676
-6.9150161499	-7.0576245104
-6.8329843618	-6.9905493415
-6.9084105365	-7.0529067262
-6.8244206326	-6.9796407475
-6.9057784141	-7.0518849456
-6.8380452933	-6.9930925621
-6.8363021451	-6.9950173428
-6.8419847274	-6.9888547416
-6.8544499159	-7.0045240956
-6.9126915650	-7.0561547883
-6.9161882072	-7.0596990475
-6.9133374658	-7.0575785347
-6.9105773363	-7.0590685509
-6.9170658394	-7.0609684262
-6.8381535646	-6.9934350641
-6.8373838790	-6.9983414099
-6.8468047618	-7.0016182894
-6.8342647748	-6.9962948908
-6.8456493596	-7.0004313023
-6.9123844175	-7.0588775748
-6.9103110097	-7.0594501515
-6.9128956608	-7.0565449461
-6.9027575102	-7.0503186518
-6.9146902373	-7.0605518769
-6.8438230430	-6.9954734013
-6.8310752135	-6.9886415353
-6.8335996891	-6.9914901972
-6.8303544770	-6.9850187186
-6.8309704481	-6.9892160405
-6.8268285901	-6.9896701137
-6.8328823612	-6.9951087551
-6.9135862701	-7.0591082987
-6.9176740404	-7.0609347828
-6.8977372144	-7.0520013736
-6.9245990276	-7.0589347119
-3.9744485649	-4.0962141262
-3.9717519376	-4.0976773141
-3.9709434473	-4.0982591565
-3.9750767317	-4.0583637746
-3.9794374457	-4.0871484174
-3.9812112703	-4.0818487542
-3.9800558240	-4.0792371298
-3.9736008825	-4.0967595006
-3.9797333417	-4.0760594761
-3.9789273193	-4.0894698200
-3.9770973345	-4.0647573495
-3.9764789045	-4.0626870729
-3.9676937667	-4.0991384241
-3.9781717499	-4.0915324893
-3.9799082317	-4.0805147936
-3.9643296596	-4.0341920081
-3.9812113075	-4.0818487543
-3.9727024400	-4.0972474912
-3.9812112991	-4.0818487541
-3.9793232197	-4.0742036613
-3.9792285107	-4.0883635357
-3.9800712608	-4.0835319556
-3.9740718011	-4.0558871712
-3.9787990450	-4.0708048201
-3.9765262107	-4.0940979390
-3.9758179715	-4.0947895034
-3.9776599440	-4.0924256431
-3.9673424096	-4.0402435376
-3.9686474363	-4.0430436813
-3.9801436412	-4.0821825283
-3.9756189733	-4.0603578765
-3.9751544633	-4.0955235088
-8.9638300690	-9.0626490698
-8.9687613865	-9.0738873173
-8.9523617789	-9.0473812496
-8.9679090778	-9.0702680498
-8.9617775865	-9.0745456293
-8.9593051841	-9.0562095496
-8.9753800997	-9.0791051198
-8.9495565241	-9.0435602691
-8.9665059406	-9.0752054353
-8.9676129461	-9.0744914241
-8.9630779469	-9.0751259115
-8.9753800030	-9.0791050309
-8.9515861037	-9.0702783300
-8.9684431784	-9.0719091343
-8.9539727870	-9.0711510397
-8.9605950740	-9.0579851694
-8.9636464436	-9.0750448630
-8.9647211738	-9.0639921361
-8.9565967017	-9.0722236827
-8.9651693059	-9.0655148148
-8.9673012388	-9.0685987731
-8.9753800961	-9.0791051198
-8.9753801886	-9.0791052054
-8.9619307214	-9.0597665463
-8.9753801587	-9.0791051809
-8.9678990800	-9.0719367079
-8.9678946516	-9.0741767444
-8.9753800287	-9.0791050577
-8.9583074709	-9.0547338145
-8.9618732087	-9.0602568050
-8.9673799751	-9.0754378563
-8.9612956922	-9.0746758857
-8.9478721940	-9.0414594560
-8.9655254170	-9.0653397327
