参考能量(eV/atom)	计算能量(eV/atom)
-6.4523397927	-6.4523348773
-6.4573205062	-6.4569792903
-6.4596988156	-6.4597572640
-6.4529475255	-6.4527152063
-6.4427098886	-6.4426440306
-6.4469899184	-6.4467681899
-6.4621099920	-6.4620285674
-6.5152613015	-6.5150071036
-6.4542356346	-6.4542871613
-6.4566541995	-6.4567115856
-6.4548047191	-6.4548478679
-6.4535933710	-6.4534844047
-6.4589750930	-6.4586431681
-6.4556879105	-6.4555765708
-6.4525221027	-6.4525708847
-6.4523285698	-6.4522191639
-6.4541481210	-6.4539449140
-6.4584846769	-6.4583515872
-6.4582369820	-6.4580907939
-6.4618137591	-6.4617205733
-6.4616812095	-6.4617970496
-6.4565306867	-6.4565685384
-6.4586905451	-6.4587965366
-6.4601243707	-6.4600776032
-6.4519768514	-6.4518046787
-6.4562190531	-6.4559188360
-6.4548670040	-6.4548025682
-6.4579671685	-6.4580692643
-6.4481287338	-6.4481975468
-6.4441195446	-6.4441462136
-6.4572817162	-6.4570366919
-6.4666389820	-6.4667079247
-6.4544417638	-6.4544939931
-6.4614910237	-6.4615087173
-6.4567525779	-6.4567808581
-6.4501261591	-6.4500499826
-6.4434269829	-6.4433574117
-6.4697340546	-6.4697155734
-6.4577330056	-6.4576511765
-6.4460035549	-6.4460071069
-6.4602799787	-6.4600416019
-6.4551930523	-6.4550571727
-6.4490634589	-6.4491724911
-6.4656614771	-6.4655927805
-6.4510381034	-6.4507220850
-6.5003886221	-6.5004188696
-6.5101107831	-6.5102249489
-6.4986979089	-6.4990010253
-6.5039849071	-6.5043364017
-6.5198592754	-6.5196388694
-6.5134753240	-6.5135627888
-6.5095202449	-6.5103002711
-6.5098491297	-6.5100843101
-6.5801295162	-6.5803616842
-6.4994288622	-6.5000614470
-6.5108922788	-6.5108998608
-6.4977573584	-6.4977471958
-6.5167122934	-6.5169365449
-6.5114550179	-6.5119239239
-6.5064458559	-6.5068622219
-6.5056021063	-6.5059964145
-6.5087165954	-6.5093684872
-6.5127375874	-6.5133229219
-6.5065082488	-6.5064851653
-6.5000830953	-6.5008038600
-6.5217433705	-6.5213024414
-6.5236219908	-6.5241915582
-6.4936448718	-6.4954948062
-6.5847452427	-6.5853497985
-6.5473351650	-6.5480663293
-6.5108478708	-6.5123659707
-6.5376770466	-6.5386207609
-6.5464884079	-6.5470764493
-6.5237026016	-6.5252574343
-6.5724457023	-6.5730497119
-6.5686162902	-6.5692446503
-6.5379810159	-6.5394284909
-6.5409179694	-6.5416543466
-6.5443815760	-6.5452381245
-6.5277091641	-6.5291501857
-6.5293171345	-6.5307123142
-6.5628605248	-6.5634333885
-6.5640274360	-6.5646441523
-6.5493201668	-6.5499056602
-6.5100117030	-6.5117606669
-6.5693627732	-6.5699845534
-6.5287601174	-6.5301234381
-6.5067764415	-6.5084629084
-6.5707494691	-6.5713470731
-6.5455061151	-6.5461895226
-6.5397979476	-6.5407216939
-6.5241482672	-6.5252974427
-6.5698043400	-6.5704474513
-6.4961932914	-6.4980635553
-6.5566104681	-6.5572663906
-6.5298916872	-6.5311957651
-6.5454344767	-6.5464581580
-6.5429633533	-6.5441032803
-6.5366353449	-6.5374200139
-6.5325958427	-6.5333773554
-6.5643120049	-6.5651066670
-6.5226856003	-6.5239733380
-6.5434793434	-6.5443864930
-6.5012682739	-6.5030583199
-6.5487456757	-6.5493098426
-6.5708360224	-6.5716761307
-6.5294453419	-6.5303868507
-6.5770686536	-6.5777516563
-6.5563870584	-6.5569263078
-6.4854281467	-6.4873842840
-6.5433160557	-6.5448127880
-6.5487885152	-6.5498400401
-6.9130636971	-6.9122607937
-6.8355587654	-6.8349161617
-6.9062391174	-6.9055072054
-6.9106854119	-6.9099391544
-6.8307909857	-6.8301072368
-6.9882791501	-6.9877060555
-6.9091621481	-6.9085822273
-6.9146442293	-6.9139532849
-6.9080338027	-6.9073089616
-6.9119279109	-6.9110867136
-6.8333836255	-6.8326580551
-6.8440455581	-6.8430735869
-6.9207175493	-6.9199803764
-6.9136848996	-6.9129998872
-6.8196422069	-6.8188621718
-6.9217994501	-6.9211639842
-6.8246233510	-6.8238914430
-6.9176254337	-6.9169197405
-6.8420087007	-6.8413327234
-6.8377504444	-6.8372130966
-6.9167489380	-6.9161303838
-6.8364162232	-6.8360179057
-6.9108909374	-6.9102223695
-6.8350708519	-6.8342771802
-6.8342637277	-6.8330088649
-6.9148878673	-6.9141897225
-6.8342553292	-6.8336187476
-6.8528143790	-6.8520355140
-6.8348032796	-6.8341907382
-6.8499059451	-6.8493378073
-6.9130280566	-6.9124880096
-6.9188306526	-6.9179800256
-6.9109191196	-6.9100775306
-6.9073899440	-6.9065748221
-6.9119873982	-6.9112266185
-6.9096728599	-6.9089569659
-6.8188146307	-6.8182311561
-6.8159742337	-6.8152844797
-6.8996047886	-6.8988210588
-6.8358926710	-6.8351416954
-6.8429368727	-6.8420156892
-6.9122844122	-6.9116343049
-6.9101826926	-6.9094614156
-6.8333309997	-6.8327804839
-6.9161794419	-6.9153058837
-6.9007713491	-6.9000414325
-6.8463570092	-6.8454543263
-6.8409442825	-6.8401574233
-6.9108110061	-6.9101179167
-6.9027260302	-6.9019610772
-6.9100248511	-6.9093079811
-6.9056813019	-6.9050432990
-6.9083491031	-6.9073994753
-6.8169590781	-6.8162137867
-6.9139497112	-6.9131551546
-6.9064147817	-6.9056511301
-6.8367754958	-6.8358808915
-6.9881590699	-6.9875815373
-6.8423271007	-6.8416542243
-6.9150161499	-6.9142697899
-6.8329843618	-6.8324222612
-6.9084105365	-6.9077894310
-6.8244206326	-6.8237655470
-6.9057784141	-6.9049359310
-6.8380452933	-6.8371875367
-6.8363021451	-6.8356550573
-6.8419847274	-6.8410289307
-6.8544499159	-6.8538253526
-6.9126915650	-6.9118703704
-6.9161882072	-6.9156017649
-6.9133374658	-6.9124834466
-6.9105773363	-6.9097305941
-6.9170658394	-6.9162642181
-6.8381535646	-6.8372629377
-6.8373838790	-6.8367011879
-6.8468047618	-6.8463090305
-6.8342647748	-6.8333545122
-6.8456493596	-6.8448745256
-6.9123844175	-6.9117966988
-6.9103110097	-6.9096432318
-6.9128956608	-6.9122541671
-6.9027575102	-6.9020406647
-6.9146902373	-6.9139674414
-6.8438230430	-6.8428965814
-6.8310752135	-6.8302085310
-6.8335996891	-6.8327971858
-6.8303544770	-6.8295698734
-6.8309704481	-6.8302203200
-6.8268285901	-6.8261702745
-6.8328823612	-6.8320003722
-6.9135862701	-6.9128417646
-6.9176740404	-6.9168888270
-6.8977372144	-6.8969892104
-6.9245990276	-6.9239963321
-3.9744485649	-3.9740198647
-3.9717519376	-3.9713404827
-3.9709434473	-3.9705404212
-3.9750767317	-3.9752041060
-3.9794374457	-3.9790450887
-3.9812112703	-3.9809097768
-3.9800558240	-3.9797707694
-3.9736008825	-3.9731765434
-3.9797333417	-3.9795030326
-3.9789273193	-3.9785150482
-3.9770973345	-3.9770811522
-3.9764789045	-3.9765093220
-3.9676937667	-3.9673249009
-3.9781717499	-3.9777453959
-3.9799082317	-3.9796017437
-3.9643296596	-3.9650552749
-3.9812113075	-3.9809097773
-3.9727024400	-3.9722844489
-3.9812112991	-3.9809097764
-3.9793232197	-3.9791229160
-3.9792285107	-3.9788254601
-3.9800712608	-3.9797244294
-3.9740718011	-3.9742544154
-3.9787990450	-3.9786644578
-3.9765262107	-3.9760911401
-3.9758179715	-3.9753827360
-3.9776599440	-3.9772276113
-3.9673424096	-3.9679117241
-3.9686474363	-3.9691447363
-3.9801436412	-3.9798144022
-3.9756189733	-3.9756964287
-3.9751544633	-3.9747214767
-8.9638300690	-8.9638786515
-8.9687613865	-8.9683668292
-8.9523617789	-8.9527491514
-8.9679090778	-8.9677027010
-8.9617775865	-8.9606492951
-8.9593051841	-8.9595158732
-8.9753800997	-8.9750642557
-8.9495565241	-8.9500350962
-8.9665059406	-8.9658175433
-8.9676129461	-8.9670840239
-8.9630779469	-8.9620370178
-8.9753800030	-8.9750641634
-8.9515861037	-8.9495355473
-8.9684431784	-8.9681651019
-8.9539727870	-8.9521959591
-8.9605950740	-8.9607635275
-8.9636464436	-8.9626880997
-8.9647211738	-8.9647348129
-8.9565967017	-8.9550636895
-8.9651693059	-8.9651076992
-8.9673012388	-8.9671674421
-8.9753800961	-8.9750642557
-8.9753801886	-8.9750643466
-8.9619307214	-8.9620607570
-8.9753801587	-8.9750643201
-8.9678990800	-8.9675830710
-8.9678946516	-8.9674152798
-8.9753800287	-8.9750641908
-8.9583074709	-8.9585584580
-8.9618732087	-8.9619607456
-8.9673799751	-8.9667464166
-8.9612956922	-8.9600780759
-8.9478721940	-8.9483963711
-8.9655254170	-8.9654992074
