参考stress(eV/Å³)	计算stress(eV/Å³)
-0.0020217703	-0.0024338307
0.0245674871	0.0236716622
-0.0094560359	-0.0096859333
-0.0166500425	-0.0167821888
-0.0094560359	-0.0096859333
-0.0244710927	-0.0269731180
0.0211501343	0.0204498122
-0.0047109643	-0.0047704014
0.0055246956	0.0049801125
-0.0047109643	-0.0047704014
0.0243710876	0.0232203921
0.0074380519	0.0068869123
0.0055246956	0.0049801125
0.0074380519	0.0068869123
-0.0253496845	-0.0264821324
0.0264261662	0.0261258974
0.0001432214	-0.0001324350
-0.0289212392	-0.0287763293
0.0001432214	-0.0001324350
0.0226605191	0.0223646419
0.0206120446	0.0205697033
-0.0289212392	-0.0287763293
0.0206120446	0.0205697033
-0.0187717251	-0.0207891502
0.0186442813	0.0175379592
-0.0036550231	-0.0035926765
0.0136290825	0.0139101787
-0.0036550231	-0.0035926765
0.0227844041	0.0220920983
-0.0138959199	-0.0137812058
0.0136290825	0.0139101787
-0.0138959199	-0.0137812058
-0.0269105631	-0.0283226209
0.0248239933	0.0236361354
-0.0012090287	-0.0016518591
-0.0266686314	-0.0265983815
-0.0012090287	-0.0016518591
0.0247541765	0.0250636768
0.0275232225	0.0275456591
-0.0266686314	-0.0265983815
0.0275232225	0.0275456591
-0.0215139203	-0.0242569151
0.0232984470	0.0233245782
0.0010873798	0.0003031892
-0.0016398148	-0.0013295833
0.0010873798	0.0003031892
0.0194405657	0.0205966151
-0.0120385055	-0.0120386969
-0.0016398148	-0.0013295833
-0.0120385055	-0.0120386969
-0.0153903492	-0.0172106933
0.0167510264	0.0146887882
-0.0004130361	-0.0006339190
-0.0155774156	-0.0149311539
-0.0004130361	-0.0006339190
0.0142274118	0.0117641367
0.0039086348	0.0038055932
-0.0155774156	-0.0149311539
0.0039086348	0.0038055932
-0.0544717682	-0.0548290308
0.0251074065	0.0250973757
-0.0041956083	-0.0041411243
-0.0382389321	-0.0382775771
-0.0041956083	-0.0041411243
0.0244951534	0.0238479683
0.0005982050	0.0008449727
-0.0382389321	-0.0382775771
0.0005982050	0.0008449727
-0.0188782052	-0.0212379618
0.0200535736	0.0188935381
-0.0044708158	-0.0046053346
0.0152332930	0.0156263672
-0.0044708158	-0.0046053346
0.0228197867	0.0218970637
-0.0149394918	-0.0154070007
0.0152332930	0.0156263672
-0.0149394918	-0.0154070007
-0.0246035144	-0.0265677181
0.0231265328	0.0218358907
-0.0075578920	-0.0077140341
-0.0259143839	-0.0257236316
-0.0075578920	-0.0077140341
0.0267709786	0.0256779422
-0.0057107131	-0.0052020063
-0.0259143839	-0.0257236316
-0.0057107131	-0.0052020063
-0.0323166323	-0.0343752129
0.0257415536	0.0246743297
-0.0016943714	-0.0012841960
-0.0026725142	-0.0024384880
-0.0016943714	-0.0012841960
0.0264549817	0.0261834009
0.0003756192	0.0005001370
-0.0026725142	-0.0024384880
0.0003756192	0.0005001370
-0.0193050952	-0.0208496297
0.0198849825	0.0185263613
0.0002047331	-0.0004748257
0.0090542911	0.0092805943
0.0002047331	-0.0004748257
0.0193371791	0.0181429832
-0.0056873697	-0.0055615115
0.0090542911	0.0092805943
-0.0056873697	-0.0055615115
-0.0239883084	-0.0248938637
0.0257760543	0.0253074194
-0.0015225016	-0.0021495700
-0.0002445735	-0.0000635802
-0.0015225016	-0.0021495700
0.0249512540	0.0241294473
-0.0116181904	-0.0113811966
-0.0002445735	-0.0000635802
-0.0116181904	-0.0113811966
-0.0266157281	-0.0289843389
0.0283841617	0.0271722190
-0.0037085839	-0.0041401016
0.0007893486	0.0004314328
-0.0037085839	-0.0041401016
0.0287006052	0.0278616398
-0.0342647488	-0.0340504713
0.0007893486	0.0004314328
-0.0342647488	-0.0340504713
-0.0099399187	-0.0130286463
0.0205468614	0.0199957118
-0.0022398698	-0.0022337855
-0.0283800830	-0.0283388244
-0.0022398698	-0.0022337855
0.0234458425	0.0214521748
0.0006332743	0.0010712814
-0.0283800830	-0.0283388244
0.0006332743	0.0010712814
-0.0389915790	-0.0407793231
0.0289231369	0.0278555398
-0.0030640837	-0.0038620195
-0.0254193062	-0.0256732390
-0.0030640837	-0.0038620195
0.0266157308	0.0264239598
0.0108392184	0.0109271975
-0.0254193062	-0.0256732390
0.0108392184	0.0109271975
-0.0210969432	-0.0240853562
0.0305487137	0.0311616130
-0.0044878133	-0.0043319370
-0.0065877737	-0.0066313785
-0.0044878133	-0.0043319370
0.0338471238	0.0339752849
0.0216955828	0.0215990764
-0.0065877737	-0.0066313785
0.0216955828	0.0215990764
-0.0127885208	-0.0154899810
0.0208553000	0.0197344813
-0.0057197474	-0.0061237637
-0.0025278192	-0.0021529208
-0.0057197474	-0.0061237637
0.0185222396	0.0183054284
-0.0222616754	-0.0218602517
-0.0025278192	-0.0021529208
-0.0222616754	-0.0218602517
-0.0359861330	-0.0379915003
0.0184958720	0.0174625380
-0.0007826423	-0.0014762380
-0.0023116324	-0.0026838777
-0.0007826423	-0.0014762380
0.0188440955	0.0177679112
-0.0088830491	-0.0086677729
-0.0023116324	-0.0026838777
-0.0088830491	-0.0086677729
-0.0378145279	-0.0394308407
0.0354487818	0.0345723959
-0.0036564934	-0.0034210778
-0.0044439107	-0.0043977130
-0.0036564934	-0.0034210778
0.0354921041	0.0345783194
-0.0034884365	-0.0034197028
-0.0044439107	-0.0043977130
-0.0034884365	-0.0034197028
-0.0176418027	-0.0190059470
0.0243753804	0.0226232805
-0.0032007706	-0.0033535461
-0.0115945725	-0.0114667808
-0.0032007706	-0.0033535461
0.0207069681	0.0183718263
-0.0045625521	-0.0045467827
-0.0115945725	-0.0114667808
-0.0045625521	-0.0045467827
-0.0362795464	-0.0381129552
0.0156561969	0.0146789155
-0.0020732828	-0.0021959009
-0.0155465984	-0.0152626471
-0.0020732828	-0.0021959009
0.0179185436	0.0171478508
0.0087669964	0.0086150207
-0.0155465984	-0.0152626471
0.0087669964	0.0086150207
-0.0324394464	-0.0345233210
0.0243684809	0.0225357164
-0.0013692375	-0.0012605426
-0.0077480297	-0.0072918829
-0.0013692375	-0.0012605426
0.0208456453	0.0187911298
0.0131153370	0.0135677706
-0.0077480297	-0.0072918829
0.0131153370	0.0135677706
-0.0399836865	-0.0413514656
0.0272261386	0.0262181757
-0.0012091885	-0.0018056756
-0.0088907876	-0.0089779527
-0.0012091885	-0.0018056756
0.0242207557	0.0235084077
0.0168843760	0.0167722102
-0.0088907876	-0.0089779527
0.0168843760	0.0167722102
-0.0257107920	-0.0275920040
0.0223690735	0.0226563496
-0.0001812805	-0.0007930665
-0.0040888277	-0.0042955437
-0.0001812805	-0.0007930665
0.0264329103	0.0264383510
-0.0005869630	-0.0004143927
-0.0040888277	-0.0042955437
-0.0005869630	-0.0004143927
-0.0237758113	-0.0272262774
0.0247934263	0.0244371381
0.0017505114	0.0015809239
-0.0425515255	-0.0426515432
0.0017505114	0.0015809239
0.0260393341	0.0252554926
0.0106338689	0.0105548152
-0.0425515255	-0.0426515432
0.0106338689	0.0105548152
-0.0153298078	-0.0191182077
0.0199843644	0.0196123442
0.0004083048	0.0005626263
-0.0419861056	-0.0415834788
0.0004083048	0.0005626263
0.0253035070	0.0245739463
0.0005938816	0.0003496358
-0.0419861056	-0.0415834788
0.0005938816	0.0003496358
-0.0259712607	-0.0278542923
0.0243250310	0.0226150020
-0.0035408154	-0.0041368912
-0.0173911761	-0.0169333600
-0.0035408154	-0.0041368912
0.0249806489	0.0234124296
-0.0156713556	-0.0156198136
-0.0173911761	-0.0169333600
-0.0156713556	-0.0156198136
-0.0337270029	-0.0349366396
0.0314790665	0.0313175998
-0.0001163042	-0.0001158799
-0.0133295545	-0.0135277170
-0.0001163042	-0.0001158799
0.0219753902	0.0230276986
0.0183643969	0.0182893652
-0.0133295545	-0.0135277170
0.0183643969	0.0182893652
-0.0100013405	-0.0125121040
0.0224140783	0.0226941663
0.0037864052	0.0027369352
-0.0021841334	-0.0027910100
0.0037864052	0.0027369352
0.0189093676	0.0199422602
-0.0079983461	-0.0081553962
-0.0021841334	-0.0027910100
-0.0079983461	-0.0081553962
-0.0205754463	-0.0231191085
0.0171341470	0.0163922620
-0.0035961301	-0.0036527165
0.0003905426	0.0002919491
-0.0035961301	-0.0036527165
0.0193285339	0.0188134756
0.0177088617	0.0177934808
0.0003905426	0.0002919491
0.0177088617	0.0177934808
-0.0375917559	-0.0395592029
0.0193837786	0.0189896462
0.0010776386	0.0015686436
0.0098075566	0.0101227064
0.0010776386	0.0015686436
0.0253976756	0.0250059799
-0.0178823827	-0.0175478283
0.0098075566	0.0101227064
-0.0178823827	-0.0175478283
-0.0145098237	-0.0172080140
0.0286850474	0.0276979287
0.0128049723	0.0114502956
0.0061045583	0.0060127919
0.0128049723	0.0114502956
0.0281126427	0.0278202974
0.0187969380	0.0185819066
0.0061045583	0.0060127919
0.0187969380	0.0185819066
-0.0221930865	-0.0230217829
0.0349476264	0.0336316957
0.0137440962	0.0127638207
-0.0357740931	-0.0360896898
0.0137440962	0.0127638207
0.0276153773	0.0270408313
0.0090747051	0.0090541365
-0.0357740931	-0.0360896898
0.0090747051	0.0090541365
-0.0191905664	-0.0206892885
0.0282183748	0.0285251913
0.0155618157	0.0142843197
-0.0044158865	-0.0043415925
0.0155618157	0.0142843197
0.0252899143	0.0256509731
-0.0117645386	-0.0118056977
-0.0044158865	-0.0043415925
-0.0117645386	-0.0118056977
-0.0227770785	-0.0241137297
0.0295309041	0.0273062872
0.0125023414	0.0124206528
0.0023178830	0.0022332125
0.0125023414	0.0124206528
0.0246861385	0.0236292142
0.0325377866	0.0322379972
0.0023178830	0.0022332125
0.0325377866	0.0322379972
-0.0468925692	-0.0471127497
0.0230495121	0.0226743999
0.0140609870	0.0128966893
-0.0363900176	-0.0360964259
0.0140609870	0.0128966893
0.0211436843	0.0197555192
0.0175934621	0.0174381315
-0.0363900176	-0.0360964259
0.0175934621	0.0174381315
-0.0495804991	-0.0498170268
0.0285143510	0.0284027058
0.0114227535	0.0105346825
-0.0151294147	-0.0151893224
0.0114227535	0.0105346825
0.0271255439	0.0266613895
-0.0081288944	-0.0079544448
-0.0151294147	-0.0151893224
-0.0081288944	-0.0079544448
-0.0282253531	-0.0291103898
0.0267946581	0.0259150942
0.0151194002	0.0142213045
-0.0163212811	-0.0161216192
0.0151194002	0.0142213045
0.0228889205	0.0230898795
0.0410113981	0.0407169123
-0.0163212811	-0.0161216192
0.0410113981	0.0407169123
-0.0279167846	-0.0290772133
0.0354041918	0.0344439992
0.0122386577	0.0109220537
0.0094070777	0.0090226015
0.0122386577	0.0109220537
0.0297544872	0.0293906849
-0.0255549335	-0.0251350388
0.0094070777	0.0090226015
-0.0255549335	-0.0251350388
-0.0307254065	-0.0315938689
0.0290599923	0.0295433964
0.0129805815	0.0119972981
-0.0094533716	-0.0090663352
0.0129805815	0.0119972981
0.0236633891	0.0237776730
-0.0272694691	-0.0272108057
-0.0094533716	-0.0090663352
-0.0272694691	-0.0272108057
-0.0185632432	-0.0201786087
0.0265986243	0.0250833118
0.0118674218	0.0116710442
0.0275383716	0.0273788530
0.0118674218	0.0116710442
0.0256680638	0.0242208574
0.0035650270	0.0036754164
0.0275383716	0.0273788530
0.0035650270	0.0036754164
-0.0369790342	-0.0376125994
0.0407813346	0.0392836221
0.0123365128	0.0114013795
-0.0047506362	-0.0047462333
0.0123365128	0.0114013795
0.0408764935	0.0392943046
-0.0030941366	-0.0030816109
-0.0047506362	-0.0047462333
-0.0030941366	-0.0030816109
-0.0282017041	-0.0265369315
0.0237053669	0.0229988881
0.0127277682	0.0109927975
-0.0258408388	-0.0256985360
0.0127277682	0.0109927975
0.0213427962	0.0204527984
0.0035341356	0.0034802518
-0.0258408388	-0.0256985360
0.0035341356	0.0034802518
-0.0422475415	-0.0419609423
0.0193948483	0.0198978333
0.0134419776	0.0133048188
-0.0263775693	-0.0262746693
0.0134419776	0.0133048188
0.0266050401	0.0255521671
0.0084021217	0.0082771219
-0.0263775693	-0.0262746693
0.0084021217	0.0082771219
-0.0323705061	-0.0334611421
0.0237273998	0.0237114765
0.0117324986	0.0120490281
0.0052825736	0.0053087502
0.0117324986	0.0120490281
0.0243679497	0.0241186113
0.0001954503	0.0002108036
0.0052825736	0.0053087502
0.0001954503	0.0002108036
-0.0262862070	-0.0271970536
0.0254836938	0.0241550693
0.0145553337	0.0137079896
-0.0054536131	-0.0054748747
0.0145553337	0.0137079896
0.0296579803	0.0285231408
-0.0398732150	-0.0400364949
-0.0054536131	-0.0054748747
-0.0398732150	-0.0400364949
-0.0376764958	-0.0372240853
0.0291200109	0.0265351516
0.0106230448	0.0099543807
0.0037798751	0.0036508513
0.0106230448	0.0099543807
0.0294447168	0.0268081561
-0.0081275891	-0.0080965834
0.0037798751	0.0036508513
-0.0081275891	-0.0080965834
-0.0508491760	-0.0501810669
0.0181328999	0.0171798425
0.0127060959	0.0128800238
-0.0053495141	-0.0051330831
0.0127060959	0.0128800238
0.0240596027	0.0235037613
-0.0032331295	-0.0033233805
-0.0053495141	-0.0051330831
-0.0032331295	-0.0033233805
-0.0447272207	-0.0447374802
0.0261565615	0.0253943866
0.0126927814	0.0113542360
-0.0163648964	-0.0163959297
0.0126927814	0.0113542360
0.0270567605	0.0255020661
0.0026225485	0.0027300269
-0.0163648964	-0.0163959297
0.0026225485	0.0027300269
-0.0380984303	-0.0405008578
0.0313482934	0.0305320663
0.0151565188	0.0151465441
-0.0285066273	-0.0287192394
0.0151565188	0.0151465441
0.0295690837	0.0287202438
0.0013779989	0.0012587779
-0.0285066273	-0.0287192394
0.0013779989	0.0012587779
-0.0245321252	-0.0269070422
0.0237189041	0.0228464691
0.0116109701	0.0106991858
-0.0192397541	-0.0188685050
0.0116109701	0.0106991858
0.0301335107	0.0292023621
0.0088920317	0.0087307445
-0.0192397541	-0.0188685050
0.0088920317	0.0087307445
-0.0371586527	-0.0376585694
0.0277982724	0.0269428656
0.0110101565	0.0088392348
-0.0019522343	-0.0022301188
0.0110101565	0.0088392348
0.0227959468	0.0220937717
0.0022528352	0.0025992935
-0.0019522343	-0.0022301188
0.0022528352	0.0025992935
-0.0330081536	-0.0335886669
0.0320989086	0.0308271568
0.0094126696	0.0083368042
0.0214143118	0.0216732239
0.0094126696	0.0083368042
0.0265607083	0.0254019521
-0.0009146986	-0.0012154502
0.0214143118	0.0216732239
-0.0009146986	-0.0012154502
-0.0443838979	-0.0443012136
0.0305081605	0.0303794707
0.0123647165	0.0112943412
-0.0118923262	-0.0118695015
0.0123647165	0.0112943412
0.0314487164	0.0304013722
0.0081761975	0.0080563007
-0.0118923262	-0.0118695015
0.0081761975	0.0080563007
-0.0158039140	-0.0179221093
0.0227661677	0.0208779284
0.0125729061	0.0115574560
-0.0260722762	-0.0259388860
0.0125729061	0.0115574560
0.0239268471	0.0221755177
0.0092113721	0.0090692758
-0.0260722762	-0.0259388860
0.0092113721	0.0090692758
-0.0398138716	-0.0408892691
0.0223348571	0.0228767345
0.0158297572	0.0136432572
0.0114297346	0.0116894698
0.0158297572	0.0136432572
0.0315493593	0.0318370182
-0.0009563863	-0.0010191744
0.0114297346	0.0116894698
-0.0009563863	-0.0010191744
-0.0239722877	-0.0246057306
0.0273663260	0.0261740304
0.0119671191	0.0109847207
-0.0043764918	-0.0040456747
0.0119671191	0.0109847207
0.0294934556	0.0290519362
-0.0075095494	-0.0073316654
-0.0043764918	-0.0040456747
-0.0075095494	-0.0073316654
-0.0353079124	-0.0363365888
0.0363166042	0.0356847514
0.0141951457	0.0131979612
0.0015387525	0.0017205683
0.0141951457	0.0131979612
0.0319433108	0.0315198587
-0.0157811416	-0.0155575988
0.0015387525	0.0017205683
-0.0157811416	-0.0155575988
-0.0117697646	-0.0124929711
0.0275601689	0.0284461247
0.0152107709	0.0133658509
0.0022022310	0.0019824611
0.0152107709	0.0133658509
0.0259711747	0.0274100803
-0.0292460102	-0.0291049736
0.0022022310	0.0019824611
-0.0292460102	-0.0291049736
-0.0196177453	-0.0226219190
0.0300228594	0.0295815715
0.0100694540	0.0090266933
-0.0292784274	-0.0289004017
0.0100694540	0.0090266933
0.0315738507	0.0309787159
0.0150944340	0.0149164766
-0.0292784274	-0.0289004017
0.0150944340	0.0149164766
-0.0185057575	-0.0206183444
0.0298180504	0.0288062356
0.0123359888	0.0112998149
-0.0043897203	-0.0044412185
0.0123359888	0.0112998149
0.0225514488	0.0222556407
-0.0343496055	-0.0342370652
-0.0043897203	-0.0044412185
-0.0343496055	-0.0342370652
-0.0326495576	-0.0335234292
0.0259443565	0.0247836359
0.0101687951	0.0098794473
-0.0145068012	-0.0143404096
0.0101687951	0.0098794473
0.0281470710	0.0276240989
0.0018851356	0.0018686579
-0.0145068012	-0.0143404096
0.0018851356	0.0018686579
-0.0273333244	-0.0283854013
0.0277842901	0.0283946267
0.0152744478	0.0141813142
-0.0279104243	-0.0277483079
0.0152744478	0.0141813142
0.0283773461	0.0276596400
0.0024622163	0.0019724320
-0.0279104243	-0.0277483079
0.0024622163	0.0019724320
-0.0208692288	-0.0227436717
0.0270560181	0.0252920323
0.0099778006	0.0097564071
-0.0198442739	-0.0198659256
0.0099778006	0.0097564071
0.0251773835	0.0241134699
-0.0011720754	-0.0011690852
-0.0198442739	-0.0198659256
-0.0011720754	-0.0011690852
-0.0398042850	-0.0406530276
0.0282120289	0.0293799314
0.0127499584	0.0127996411
0.0254414302	0.0254660740
0.0127499584	0.0127996411
0.0264090222	0.0272090128
-0.0031521139	-0.0031939104
0.0254414302	0.0254660740
-0.0031521139	-0.0031939104
-0.0235780427	-0.0243147787
0.0280953914	0.0267057871
0.0111229470	0.0094787078
-0.0224872192	-0.0224764961
0.0111229470	0.0094787078
0.0235286087	0.0216626936
-0.0010099063	-0.0007460427
-0.0224872192	-0.0224764961
-0.0010099063	-0.0007460427
-0.0383797621	-0.0396564377
0.0258301201	0.0243205992
0.0117545809	0.0100974782
-0.0223568468	-0.0221763612
0.0117545809	0.0100974782
0.0261366060	0.0246844050
-0.0133031610	-0.0132208973
-0.0223568468	-0.0221763612
-0.0133031610	-0.0132208973
-0.0490016832	-0.0491678546
0.0321300485	0.0326533465
0.0117159956	0.0098272632
0.0004598699	0.0001023401
0.0117159956	0.0098272632
0.0256365543	0.0273557403
-0.0283535662	-0.0280448935
0.0004598699	0.0001023401
-0.0283535662	-0.0280448935
-0.0138526306	-0.0157920934
0.0262889209	0.0264425179
0.0128190794	0.0115989257
-0.0283702528	-0.0283511797
0.0128190794	0.0115989257
0.0249367228	0.0255711577
0.0173936760	0.0173157869
-0.0283702528	-0.0283511797
0.0173936760	0.0173157869
-0.0299716171	-0.0304590095
0.0301063521	0.0299217122
0.0148108664	0.0136933002
-0.0154067522	-0.0150180786
0.0148108664	0.0136933002
0.0304526166	0.0315791524
0.0408155508	0.0406878632
-0.0154067522	-0.0150180786
0.0408155508	0.0406878632
-0.0167006394	-0.0197020291
0.0242107876	0.0242805288
0.0187449685	0.0166405148
0.0285350141	0.0283899924
0.0187449685	0.0166405148
0.0242319151	0.0242488737
-0.0086945482	-0.0086387582
0.0285350141	0.0283899924
-0.0086945482	-0.0086387582
-0.0327283829	-0.0343492717
0.0230227000	0.0229350439
0.0116900320	0.0102372289
0.0166194280	0.0166237172
0.0116900320	0.0102372289
0.0242102391	0.0251918965
0.0232515973	0.0230268634
0.0166194280	0.0166237172
0.0232515973	0.0230268634
-0.0316002280	-0.0323464518
0.0251983629	0.0260416446
0.0102524886	0.0088937019
0.0241201186	0.0240184651
0.0102524886	0.0088937019
0.0298086207	0.0299147762
0.0138563718	0.0138709237
0.0241201186	0.0240184651
0.0138563718	0.0138709237
-0.0226180868	-0.0238199750
0.0252477782	0.0265065326
0.0143083676	0.0120424982
0.0118786271	0.0119125592
0.0143083676	0.0120424982
0.0313555646	0.0320858119
-0.0298127039	-0.0296330224
0.0118786271	0.0119125592
-0.0298127039	-0.0296330224
-0.0218190546	-0.0233647701
0.0210893116	0.0196050159
0.0108506752	0.0109036065
-0.0363122268	-0.0361011465
0.0108506752	0.0109036065
0.0297623758	0.0271700594
0.0007479546	0.0006617511
-0.0363122268	-0.0361011465
0.0007479546	0.0006617511
-0.0441338750	-0.0445709686
0.0232989405	0.0221244355
0.0127970559	0.0122095564
-0.0086926693	-0.0085496520
0.0127970559	0.0122095564
0.0294029953	0.0280701916
0.0033422139	0.0034486611
-0.0086926693	-0.0085496520
0.0033422139	0.0034486611
-0.0340652879	-0.0343260887
0.0293843280	0.0294169858
0.0142098228	0.0129703230
-0.0259653591	-0.0259136045
0.0142098228	0.0129703230
0.0275458007	0.0279870885
0.0066658631	0.0065509723
-0.0259653591	-0.0259136045
0.0066658631	0.0065509723
-0.0254648875	-0.0262151306
-0.0143835235	-0.0147841865
-0.0145720178	-0.0116286679
0.0284941658	0.0278309294
-0.0145720178	-0.0116286679
-0.0193586589	-0.0192912200
0.0162694469	0.0165544064
0.0284941658	0.0278309294
0.0162694469	0.0165544064
-0.0691409963	-0.0701932303
-0.0162852917	-0.0143954507
-0.0114629857	-0.0080245272
0.0112496533	0.0108976781
-0.0114629857	-0.0080245272
-0.0197388033	-0.0190776551
0.0212135144	0.0209366406
0.0112496533	0.0108976781
0.0212135144	0.0209366406
-0.0677996074	-0.0692439380
-0.0085043079	-0.0082775699
-0.0144715066	-0.0118274714
0.0122094614	0.0122180718
-0.0144715066	-0.0118274714
-0.0125990990	-0.0108934544
0.0245529089	0.0236365584
0.0122094614	0.0122180718
0.0245529089	0.0236365584
-0.0578060382	-0.0582286236
-0.0191603434	-0.0161597937
-0.0182081642	-0.0159683165
0.0195118236	0.0189894722
-0.0182081642	-0.0159683165
-0.0220267695	-0.0197816407
0.0173040690	0.0173890807
0.0195118236	0.0189894722
0.0173040690	0.0173890807
-0.0743073948	-0.0754673562
-0.0170639267	-0.0163937435
-0.0168725061	-0.0136146554
0.0347535146	0.0345899052
-0.0168725061	-0.0136146554
-0.0130795074	-0.0112625741
0.0280707953	0.0284352286
0.0347535146	0.0345899052
0.0280707953	0.0284352286
-0.0635991000	-0.0667394714
-0.0268624018	-0.0238698716
-0.0106937057	-0.0075206608
-0.0013390328	-0.0017898600
-0.0106937057	-0.0075206608
-0.0223447328	-0.0211804632
0.0279847246	0.0281638213
-0.0013390328	-0.0017898600
0.0279847246	0.0281638213
-0.0478512476	-0.0522707400
0.0019202418	0.0028606559
-0.0183297944	-0.0146299801
0.0199712159	0.0194574494
-0.0183297944	-0.0146299801
0.0030300136	0.0030038207
0.0248130184	0.0246917916
0.0199712159	0.0194574494
0.0248130184	0.0246917916
-0.0505963185	-0.0542811984
-0.0152490247	-0.0125334989
-0.0118034099	-0.0084813487
0.0278218774	0.0276440270
-0.0118034099	-0.0084813487
-0.0163283105	-0.0141746502
0.0300172164	0.0296661216
0.0278218774	0.0276440270
0.0300172164	0.0296661216
-0.0644870555	-0.0649728252
-0.0156449498	-0.0165598326
-0.0102551278	-0.0070529986
0.0115044150	0.0114957735
-0.0102551278	-0.0070529986
-0.0162668169	-0.0182479231
0.0235777905	0.0232321615
0.0115044150	0.0114957735
0.0235777905	0.0232321615
-0.0679070229	-0.0691241387
-0.0158355049	-0.0151263897
-0.0106496126	-0.0075225037
0.0146864079	0.0141529399
-0.0106496126	-0.0075225037
-0.0155734926	-0.0166954131
0.0311067247	0.0312322228
0.0146864079	0.0141529399
0.0311067247	0.0312322228
-0.0707829471	-0.0727829367
-0.0192216479	-0.0186557072
-0.0159852679	-0.0115806072
0.0251530862	0.0253854295
-0.0159852679	-0.0115806072
-0.0130441722	-0.0150567020
0.0160986710	0.0157636392
0.0251530862	0.0253854295
0.0160986710	0.0157636392
-0.0770558287	-0.0793563338
-0.0163859192	-0.0179158519
-0.0087283443	-0.0054146158
0.0070794541	0.0062839815
-0.0087283443	-0.0054146158
-0.0183051888	-0.0200815774
